adoption,adoptionDegree,authors,docId,docLabel,docTitle,docType,group,href,implementationDate,keywords,leadingunit,participationUnits,publicationDate,publisher,status.active,workInfo.review,status.stabilized,status.stabilizedDate,status.superseded,status.supersededBy,status.withdrawn,references.normative,status.statusNote,references.bibliographic,docElement,docNumber,docPart,repo,doi,relatedDocs,status.reaffirmDate,status.reaffirmed,status.unknown,status.draft,status.publicCd,status.amended,status.amendedDate,status.amendedBy,details
"[""iso1223-1993""]",修改采用（MOD）,"[""杨明达""]",gbt-5301-2002,GB/T 5301-2002,供电视播放用影片安全画面范围的位置和尺寸,国家标准,国家电影局,./pdf/GBT_5301-2002_供电视播放用影片安全画面范围的位置和尺寸.pdf,2003-05-01,"[""胶片工艺"",""电视""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",2002-12-4,国家质量技术监督检验检疫总局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso1223-1993,ISO 1223:1993,Cinematography — Picture areas for motion-picture films and slides for television — Position and dimensions,国际标准,iso-tc36-tc,https://www.iso.org/standard/20575.html,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso1223-2003""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,jbt-6839-2011,JB/T 6839-2011,放映银幕分类,行业标准,中国机械工业联合会,undefined,undefined,"[""检测能力""]",undefined,undefined,undefined,工业和信息化部,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso4243-1979""]",undefined,undefined,jbt-9411-2014,JB/T 9411-2014,16mm电影发行正片画面和光学声带的位置和尺寸,行业标准,中国机械工业联合会,./pdf/JBT_9411-2014_16mm电影发行正片画面和光学声带的位置和尺寸.pdf,undefined,"[""胶片工艺""]",undefined,undefined,undefined,工业和信息化部,true,null,undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso5768-1981""]",等同采用（IDT）,"[""王少明""]",gbt-5874-1986,GB/T 5874-1986,16mm W型电影摄影机片窗所形成的画面位置和尺寸,国家标准,国家电影局,./pdf/GBT_5874-1986_16mm_W型电影摄影机片窗所形成的画面位置和尺寸.pdf,1986-12-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1986-02-27,国家标准局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso5768-1981,ISO 5768:1981,Cinematography — Image produced by camera aperture Type W on 16 mm motion-picture film — Position and dimensions,国际标准,iso-tc36-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,true,"[""iso5768-1998""]",undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso1189-1986"",""iso1188-1984""]",等效采用（EQV）,undefined,gbt-5875-1994,GB/T 5875-1994,35mm和16mm磁片的录音特性,国家标准,国家电影局,./pdf/GBT_5875-1994_35mm和16mm磁片的录音特性.pdf,1995-08-01,"[""胶片工艺""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1994-12-28,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,同时采标的ISO 1189:1986和ISO 1188:1984，均现行。,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso1189-1986,ISO 1189:1986,Cinematography — Recorded characteristic for magnetic sound records on 35 mm motion-picture film excluding striped release prints — Specifications,国际标准,iso-tc36-tc,https://www.iso.org/standard/5782.html,undefined,undefined,undefined,undefined,undefined,ISO,true,null,true,1990-11-15,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
"[""iso417-1977""]",参考采用（REF）,"[""梁敏聪""]",gbt-12938-1991,GB/T 12938-1991,已加工的摄影材料中硫代硫酸盐及其他相关化学残留物的测定方法 碘-直链淀粉法、亚甲蓝法和硫化银密度法,国家标准,国家电影局,./pdf/GBT_12938-1991_已加工的摄影材料中硫代硫酸盐及其他相关化学残留物的测定方法_碘-直链淀粉法、亚甲蓝法和硫化银密度法.pdf,1992-04-01,"[""胶片工艺"",""洗印""]",中国电影科学技术研究所,"[""中国电影科学技术研究所""]",1991-05-22,国家技术监督局,true,"[{""assignedGroup"":""全国广播电影电视标准化技术委员会（SAC/TC239/SC4）"",""reviewDate"":""2016-10-01"",""reviewPeriod"":""集中复审""}]",undefined,undefined,undefined,undefined,undefined,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
undefined,undefined,undefined,iso417-1977,ISO 417:1977,"Photography — Determination of thiosulphate and other residual chemicals in processed photographic films, plates and papers — Methylene blue photometric method and silver sulphide densitometric method",国际标准,iso-tc42-tc,undefined,undefined,undefined,undefined,undefined,undefined,ISO,false,null,undefined,undefined,undefined,undefined,true,null,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
